M,Only host,Only host + svm,svm + gpu,only gpu
560,609.951172,619.533203,11.349609,10.203125
561,643.878906,656.048828,10.523438,9.683594
562,718.490234,639.685547,10.718750,9.787109
563,648.974609,642.576172,10.666016,9.695313
564,680.173828,712.500000,10.447266,10.273438
565,929.306641,948.878906,12.447266,11.726563
566,761.107422,751.644531,12.011719,10.072266
567,814.076172,730.808594,10.943359,11.437500
568,685.632813,705.248047,11.128906,9.884766
569,772.658203,689.597656,11.324219,10.083984
570,699.273438,682.117188,10.906250,9.875000
571,669.355469,687.798828,11.621094,10.914063
572,699.574219,706.498047,10.951172,10.410156
573,708.958984,704.787109,10.681641,10.310547
574,702.644531,711.339844,11.386719,10.556641
575,755.960938,831.453125,11.056641,10.228516
576,931.183594,819.089844,11.861328,10.841797
577,720.738281,737.443359,11.248047,10.332031
578,739.253906,734.669922,11.916016,10.310547
579,731.355469,726.285156,12.021484,10.265625
580,727.027344,729.570313,11.173828,10.621094
581,761.587891,799.962891,11.904297,10.917969
582,730.777344,726.171875,11.976563,11.339844
583,745.115234,739.105469,12.152344,10.937500
584,796.462891,702.972656,12.123047,10.816406
585,722.314453,860.916016,11.189453,10.539063
586,733.333984,733.880859,12.332031,11.181641
587,756.656250,751.671875,12.148438,10.896484
588,765.458984,766.994141,12.027344,10.546875
589,771.525391,760.501953,11.679688,10.773438
590,763.427734,758.998047,12.265625,11.083984
591,798.181641,833.273438,11.695313,10.591797
592,741.169922,735.353516,12.201172,11.636719
593,785.027344,782.626953,12.027344,10.996094
594,783.880859,779.486328,12.279297,11.271484
595,804.638672,839.880859,11.576172,11.103516
596,919.310547,812.208984,12.494141,11.207031
597,883.978516,815.804688,13.582031,11.341797
598,810.927734,793.037109,12.007813,11.029297
599,806.953125,806.230469,12.173828,11.041016
600,769.380859,777.136719,12.246094,11.417969
601,825.726563,806.439453,12.474609,11.341797
602,816.041016,814.242188,12.201172,11.445313
603,818.384766,830.351563,11.679688,11.001953
604,834.531250,820.738281,12.613281,11.615234
605,797.927734,804.898438,12.703125,11.437500
606,814.759766,823.128906,12.076172,11.341797
607,852.878906,882.783203,11.992188,11.460938
608,834.505859,808.515625,12.238281,11.576172
609,887.701172,1478.048828,15.708984,12.884766
610,1331.757813,1039.687500,13.062500,13.007813
611,1048.179688,1006.437500,11.937500,11.714844
612,943.242188,842.515625,12.460938,11.740234
613,847.482422,888.837891,14.314453,12.625000
614,901.699219,862.908203,14.267578,12.142578
615,885.058594,869.064453,13.037109,12.619141
616,844.433594,840.064453,13.583984,11.851563
617,878.054688,862.001953,13.656250,12.183594
618,894.646484,875.179688,12.630859,11.986328
619,887.310547,887.634766,13.761719,12.808594
620,887.027344,925.107422,12.630859,12.568359
